pct_vegetation,pct_gravel,pct_rock,pct_soil,n_rocks_large,n_rocks_medium,n_rocks_small,n_frogs,notes,distance_m
40.0,10.0,50.0,0.0,6.0,3.0,,1.0,1 debajo de una mediana,
55.0,5.0,40.0,0.0,,4.0,,3.0,3 debajo de una piedra mediana,
70.0,25.0,5.0,0.0,2.0,1.0,,1.0,1 debajo de una roca mediana,
30.0,25.0,35.0,0.0,8.0,4.0,,1.0,1 debajo de una roca mediana,
2.0,25.0,73.0,0.0,4.0,2.0,,1.0,1 debajo de una roca mediana,
60.0,20.0,20.0,0.0,,,4.0,5.0,5 bajo una roca grande,15.0
10.0,0.0,80.0,10.0,,1.0,5.0,3.0,3 debajo de una piedra mediana,25.0
30.0,0.0,70.0,0.0,9.0,5.0,,1.0,1 debajo de una mediana,7.0
20.0,10.0,60.0,10.0,12.0,3.0,1.0,1.0,1 debajo de una roca mediana,6.0
85.0,0.0,15.0,0.0,,3.0,,1.0,1 debajo de una roca mediana,20.0
75.0,10.0,5.0,0.0,2.0,1.0,,1.0,1 debajo de una roca mediana,10.0
5.0,80.0,0.0,15.0,,,,1.0,1 debajo de una roca chica,4.0
70.0,0.0,15.0,15.0,,4.0,,1.0,1 debajo de una roca mediana,20.0
80.0,15.0,5.0,0.0,4.0,3.0,,3.0,3 debajo de una piedra mediana,25.0
5.0,60.0,35.0,0.0,2.0,1.0,,2.0,2 ranas y un gecko debajo de roca mediana,6.0
15.0,15.0,50.0,20.0,3.0,1.0,,6.0,6 ranas debajo de una roca mediana,6.0
15.0,45.0,25.0,15.0,3.0,2.0,,1.0,1 rana debajo roca mediana,6.0
70.0,0.0,15.0,15.0,,3.0,1.0,1.0,1 debajo de una roca mediana,20.0
25.0,30.0,45.0,0.0,3.0,3.0,,1.0,1 debajo de una roca mediana,8.0
25.0,15.0,45.0,15.0,5.0,,,1.0,1 debajo de roca chica,8.0
0.0,0.0,100.0,0.0,10.0,3.0,,1.0,1 debajo de una roca mediana,1.0
0.0,5.0,95.0,0.0,4.0,3.0,2.0,1.0,1 debajo de una roca mediana,1.0
0.0,20.0,80.0,0.0,10.0,4.0,1.0,1.0,1 rana debajo de una roca grande,0.5
5.0,5.0,50.0,40.0,10.0,3.0,2.0,1.0,1 rana debajo de una roca grande,
