transect_id,presence,n_frogs,distance_m,pct_vegetation,pct_gravel,pct_rock,pct_soil,n_rocks_very_large,n_rocks_large,n_rocks_medium,n_rocks_small,notes
RN1,0,0,0,0.0,0.0,100.0,0.0,0.0,10.0,7.0,0.0,
RN1,0,0,1,0.0,0.0,100.0,0.0,0.0,10.0,7.0,0.0,
RN1,0,0,2,10.0,0.0,90.0,0.0,0.0,9.0,11.0,5.0,
RN1,0,0,3,5.0,0.0,95.0,0.0,0.0,15.0,28.0,5.0,
RN1,0,0,4,10.0,10.0,80.0,0.0,0.0,10.0,15.0,10.0,
RN1,0,0,5,20.0,5.0,70.0,5.0,0.0,17.0,23.0,2.0,
RN1,0,0,6,50.0,0.0,50.0,0.0,0.0,0.0,0.0,16.0,
RN1,0,0,7,60.0,0.0,40.0,0.0,0.0,0.0,0.0,8.0,
RN1,0,0,8,60.0,0.0,40.0,0.0,0.0,0.0,0.0,12.0,
RN1,0,0,9,90.0,0.0,10.0,0.0,0.0,0.0,2.0,6.0,
RN2,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,
RN2,0,0,1,0.0,70.0,20.0,10.0,0.0,0.0,3.0,0.0,
RN2,0,0,2,0.0,1.0,99.0,0.0,0.0,0.0,13.0,0.0,
RN2,0,0,3,10.0,0.0,85.0,5.0,0.0,0.0,5.0,0.0,Mucho insecto
RN2,0,0,4,10.0,0.0,80.0,10.0,0.0,6.0,0.0,0.0,Mucho insecto
RN2,0,0,5,5.0,0.0,5.0,90.0,0.0,0.0,0.0,0.0,
RN2,0,0,6,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
RN2,0,0,7,5.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,Lagartija
RN2,0,0,8,33.3,0.0,33.4,33.3,0.0,7.0,1.0,1.0,
RN2,0,0,9,20.0,0.0,80.0,0.0,0.0,0.0,0.0,7.0,
RM1,0,0,1,0.0,0.0,100.0,0.0,4.0,2.0,0.0,1.0,
RM1,0,0,2,0.0,0.0,100.0,0.0,0.0,2.0,0.0,1.0,
RM1,0,0,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,una roca ocupa todo el sustrato
